,07/03,08/03,09/03,10/03,11/03,12/03,13/03,14/03,15/03,16/03,17/03,18/03
Rotherham,0,0,0,1,1,1,1,2,2,2,1,4
Rutland,0,0,0,0,0,0,0,0,0,0,0,0
Salford,0,0,0,0,0,0,0,0,1,1,4,4
Sandwell,0,0,0,0,0,0,0,0,1,4,6,6
Sefton,0,0,0,0,1,1,1,1,1,1,3,4
Sheffield,0,0,0,0,1,3,3,13,12,15,1,36
Shropshire,0,0,0,1,2,2,3,3,4,2,2,3
Slough,0,0,0,1,1,1,2,2,3,2,12,13
Solihull,0,0,0,0,0,0,0,0,0,1,1,1
Somerset,1,2,2,2,2,1,1,2,2,3,5,7
South Gloucestershire,0,0,0,0,1,1,1,2,4,5,6,9
South Tyneside,0,0,0,0,0,0,0,0,0,0,0,2
Southampton,0,0,0,0,0,0,0,0,1,1,3,4
Southend-on-Sea,1,1,1,1,1,1,2,2,3,3,4,5
Southwark,1,3,5,8,9,11,13,28,30,33,58,70
St. Helens,0,0,0,0,0,0,0,1,1,1,2,2
Staffordshire,4,4,4,4,4,4,4,4,6,7,10,14
Stockport,0,0,0,0,0,0,2,3,3,3,10,10
Stockton-on-Tees,0,0,0,0,2,2,2,2,2,2,3,6
Stoke-on-Trent,0,0,0,0,0,0,0,0,0,0,0,1
Suffolk,0,0,1,1,1,1,1,1,3,3,3,10
Sunderland,0,0,1,1,1,1,1,1,1,1,1,3
Surrey,4,5,6,6,10,13,16,15,23,25,30,39
Sutton,0,0,1,2,4,5,6,6,7,11,10,12
Swindon,1,2,2,2,2,2,2,2,2,2,2,3
Tameside,0,1,1,1,1,1,1,2,3,3,10,12
Telford and Wrekin,0,0,0,0,0,0,0,0,0,0,0,0
Thurrock,0,0,0,0,0,0,0,0,1,1,1,2
Torbay,4,6,7,7,7,7,7,7,7,7,6,6
Tower Hamlets,0,1,1,4,4,6,6,8,9,12,23,25
Trafford,4,4,4,4,4,4,5,7,6,7,12,14
Wakefield,0,0,0,0,0,0,0,1,2,3,4,5
Walsall,0,0,0,0,0,0,1,1,5,11,13,14
Waltham Forest,0,0,1,1,1,1,1,2,2,4,7,14
Wandsworth,2,3,3,3,3,7,7,9,17,20,21,59
Warrington,0,0,0,0,1,1,1,1,1,1,3,4
Warwickshire,0,3,4,4,4,4,4,4,5,4,4,10
West Berkshire,0,0,0,0,0,0,1,3,3,3,3,3
West Sussex,3,3,3,3,3,3,4,6,7,5,10,10
Westminster,2,3,3,5,6,12,13,24,35,37,58,68
Wigan,3,3,3,3,3,3,3,3,3,3,4,4
Wiltshire,3,3,3,4,4,4,4,5,5,7,7,9
Windsor and Maidenhead,0,0,0,1,1,1,4,5,6,6,9,10
Wirral,1,1,1,1,2,4,5,5,5,5,6,8
Wokingham,2,3,3,3,3,3,4,6,5,6,8,10
Wolverhampton,0,0,2,3,4,4,8,9,8,11,18,22
Worcestershire,0,0,0,0,0,0,2,2,3,3,1,5
York,3,3,3,3,3,3,4,4,4,4,3,4
